position,Delivery,Type,E.J
1,Throwing,PIT,10.56
1,Throwing,PIT,10.64
1,Throwing,PIT,10.52
1,Throwing,PIT,10.56
1,Throwing,PIT,10.52
1,Throwing,PIT,10.1
1,Throwing,PIT,10.28
1,Throwing,PIT,9.86
1,Throwing,PIT,10.36
1,Throwing,PIT,10.29
1,Throwing,PIT,9.94
1,Throwing,PIT,9.77
1,Throwing,PIT,9.9
2,Throwing,PIT,9.99
3,Throwing,PIT,10.03
4,Throwing,PIT,9.71
2,Throwing,FRACTURE,11.53
4,Throwing,PIT,11.53
1,Throwing,PIT,14.46
5,Throwing,DRAG,11.95
2,Throwing,FRACTURE,13.9
3,Throwing,PIT,15.05
4,Throwing,PIT,10
1,Throwing,PIT,10
4,Throwing,DRAG,13.9
5,Throwing,DRAG,14.46
1,Throwing,FRACTURE,10.22
1,Throwing,PIT,10.08
1,Throwing,PIT,9.98
1,Throwing,PIT,10.25
1,Throwing,PIT,10.12
1,Throwing,FRACTURE,10.24
1,Throwing,PIT,10.03
1,Throwing,PIT,9.92
1,Throwing,FRACTURE,12.21
1,Throwing,FRACTURE,12.37
1,Throwing,PIT,12.37
1,Throwing,PIT,10.48
1,Throwing,PIT,12.26
1,Throwing,FRACTURE,12.16
1,Throwing,PIT,12.26
1,Throwing,PIT,12.17
1,Throwing,PIT,12.24
1,Throwing,PIT,14.16
1,Throwing,FRACTURE,20.19
1,Throwing,FRACTURE,22.35
1,Throwing,FRACTURE,18.19
1,Throwing,FRACTURE,16.22
1,Throwing,FRACTURE,14.9
2,Throwing,FRACTURE,7.34
3,Throwing,PIT,8.43
3,Throwing,PIT,11.92
2,Throwing,FRACTURE,12.03
4,Throwing,DRAG,12.03
2,Throwing,PIT,12.3
3,Throwing,PIT,12.17
4,Throwing,PIT,12.13
5,Throwing,PIT,5.3
5,Throwing,PIT,12.15
2,Throwing,FRACTURE,12.38
3,Throwing,PIT,12.39
1,Throwing,FRACTURE,123.26
2,Throwing,FRACTURE,12.47
4,Throwing,DRAG,12.33
4,Throwing,DRAG,8.65
4,Throwing,DRAG,12.42
3,Throwing,PIT,12.41
2,Throwing,PIT,12.24
4,Throwing,DRAG,12.24
5,Throwing,DRAG,12.18
3,Throwing,FRACTURE,12.18
4,Throwing,PIT,12.25
2,Throwing,PIT,12.07
2,Throwing,FRACTURE,11.97
2,Throwing,PIT,12.09
2,Throwing,PIT,12.09
2,Throwing,PIT,12.04
2,Throwing,PIT,11.89
2,Throwing,FRACTURE,12.12
2,Throwing,FRACTURE,12.17
2,Throwing,PIT,11.89
3,Throwing,PIT,12.06
3,Throwing,PIT,12.09
3,Throwing,PIT,12.07
3,Throwing,PIT,12.13
3,Throwing,PIT,12.16
3,Throwing,PIT,12
3,Throwing,FRACTURE,12.02
3,Throwing,PIT,12
3,Throwing,PIT,11.85
1,Throwing,FRACTURE,24.42
4,Throwing,DRAG,11.9
4,Throwing,DRAG,11.89
4,Throwing,DRAG,12.09
4,Throwing,DRAG,12.44
4,Throwing,DRAG,11.98
4,Throwing,DRAG,12
4,Throwing,DRAG,11.7
4,Throwing,DRAG,12.53
4,Throwing,DRAG,24.42
4,Throwing,DRAG,26.96
1,Throwing,FRACTURE,26.96
1,Throwing,FRACTURE,31.65
1,Throwing,FRACTURE,39.23
1,Throwing,FRACTURE,47.05
1,Throwing,FRACTURE,53.76
1,Throwing,FRACTURE,42.45
1,Throwing,FRACTURE,43
1,Throwing,FRACTURE,31.14
1,Throwing,FRACTURE,44.68
1,Throwing,FRACTURE,43.48
1,Throwing,FRACTURE,51.29
1,Throwing,FRACTURE,48.5
1,Throwing,FRACTURE,48.65
1,Throwing,FRACTURE,19.87
1,Throwing,FRACTURE,14.45
1,Throwing,PIT,10.61
1,Throwing,FRACTURE,32.16
1,Throwing,FRACTURE,38.44
1,Throwing,FRACTURE,41.3
1,Throwing,FRACTURE,55.04
1,Throwing,FRACTURE,47.12
1,Throwing,PIT,38.85
1,Throwing,FRACTURE,37.57
1,Throwing,FRACTURE,29.48
1,Throwing,FRACTURE,22.24
1,Throwing,FRACTURE,32.92
1,Throwing,FRACTURE,42.54
1,Throwing,FRACTURE,50.38
4,Throwing,PIT,12.08
4,Throwing,PIT,11.49
4,Throwing,PIT,12.12
4,Throwing,PIT,12.05
1,Thrusting,PIT,12.1
1,Thrusting,PIT,19.2
1,Thrusting,PIT,4.05
1,Thrusting,PIT,16.2
1,Thrusting,PIT,16.2
1,Thrusting,PIT,16.2
1,Thrusting,FRACTURE,31.25
1,Thrusting,PIT,26.45
1,Thrusting,FRACTURE,31.5
1,Thrusting,FRACTURE,31.5
1,Thrusting,PIT,32
1,Thrusting,PIT,31.75
1,Thrusting,FRACTURE,33.28
1,Thrusting,FRACTURE,24.2
1,Thrusting,PIT,36.45
1,Thrusting,FRACTURE,39.2
1,Thrusting,PIT,18.05
1,Thrusting,FRACTURE,17.11
1,Thrusting,PIT,18.24
1,Thrusting,PIT,16.74
1,Thrusting,PIT,19.21
1,Thrusting,PIT,18.24
1,Thrusting,PIT,19.6
2,Throwing,PIT,31.42
2,Throwing,PIT,33.08
2,Throwing,FRACTURE,33.08
2,Throwing,PIT,33.92
2,Throwing,FRACTURE,32.66
2,Throwing,PIT,32.66
2,Throwing,PIT,31.42
2,Throwing,FRACTURE,32.25
2,Throwing,FRACTURE,33.92
2,Throwing,FRACTURE,33.92
3,Throwing,PIT,33.08
3,Throwing,PIT,33.08
3,Throwing,FRACTURE,32.25
3,Throwing,PIT,32.25
3,Throwing,FRACTURE,33.5
3,Throwing,FRACTURE,32.25
3,Throwing,PIT,32.25
3,Throwing,PIT,32.25
3,Throwing,FRACTURE,32.25
3,Throwing,FRACTURE,31.83
4,Throwing,PIT,31.83
4,Throwing,PIT,31.83
4,Throwing,PIT,32.66
4,Throwing,PIT,32.25
5,Throwing,PIT,31.83
2,Throwing,FRACTURE,88.2
3,Throwing,FRACTURE,90.95
4,Throwing,DRAG,0.09
3,Throwing,FRACTURE,89.57
4,Throwing,DRAG,0.09
4,Throwing,DRAG,32.66
4,Throwing,DRAG,31.83
4,Throwing,DRAG,32.25
4,Throwing,DRAG,32.25
5,Throwing,DRAG,32.25
5,Throwing,DRAG,31.83
5,Throwing,DRAG,31.83
5,Throwing,DRAG,32.25
5,Throwing,DRAG,31.02
2,Throwing,FRACTURE,92.35
5,Throwing,DRAG,0.1
4,Throwing,PIT,62.97
4,Throwing,FRACTURE,61.82
3,Throwing,FRACTURE,62.97
3,Throwing,FRACTURE,61.25
2,Throwing,FRACTURE,62.39
2,Throwing,FRACTURE,62.39
1,Throwing,FRACTURE,103.88
1,Throwing,FRACTURE,103.88
1,Throwing,FRACTURE,103.88
2,Throwing,FRACTURE,103.88
2,Throwing,FRACTURE,104.62
3,Throwing,FRACTURE,105.37
3,Throwing,FRACTURE,97.31
4,Throwing,FRACTURE,103.88
4,Throwing,FRACTURE,103.88
3,Throwing,FRACTURE,103.14
2,Throwing,FRACTURE,103.88
1,Thrusting,FRACTURE,43.35
1,Thrusting,FRACTURE,43.35
1,Thrusting,PIT,25.35
1,Thrusting,PIT,58.21
1,Thrusting,PIT,39.85
1,Thrusting,FRACTURE,48.6
1,Thrusting,PIT,48.39
1,Thrusting,PIT,50.7
1,Thrusting,FRACTURE,43.2
1,Thrusting,PIT,38.99
1,Thrusting,FRACTURE,48.39
1,Thrusting,PIT,41.07
1,Thrusting,FRACTURE,49.92
1,Throwing,FRACTURE,36.07
1,Throwing,FRACTURE,70.7
1,Throwing,FRACTURE,71.93
1,Throwing,FRACTURE,84.14
1,Thrusting,PIT,50.7
1,Thrusting,FRACTURE,49.15
