Technology,Kinetic.energy..J.,Type,Shot.no.
Throwing,36.73,FRACTURE,104
Throwing,39.21,FRACTURE,110
Throwing,23.43,NOTCH,111
Throwing,41.77,FRACTURE,116
Throwing,41.77,FRACTURE,116
Throwing,41.77,NOTCH,116
Throwing,29.67,FRACTURE,118
Throwing,29.67,FRACTURE,118
Throwing,46.93,FRACTURE,212
Throwing,46.93,NOTCH,212
Throwing,59.14,NOTCH,214
Throwing,50.19,NOTCH,221
Throwing,32.7,FRACTURE,225
Throwing,32.7,PIT,225
Throwing,32.7,EMBEDDED LITHIC,225
Throwing,32.7,NOTCH,225
Throwing,45.23,NOTCH,229
Throwing,60.61,NOTCH,311
Throwing,60.61,FRACTURE,311
Throwing,57.38,NOTCH,313
Throwing,57.38,PERFORATION,313
Throwing,57.38,FRACTURE,313
Throwing,54.33,NOTCH,317
Throwing,54.33,FRACTURE,317
Throwing,56.57,NOTCH,318
Throwing,56.57,FRACTURE,318
Throwing,56.57,PERFORATION,318
Throwing,49.35,NOTCH,321
Throwing,49.35,FRACTURE,321
Throwing,43.39,FRACTURE,323
Throwing,51.32,NOTCH,324
Throwing,46.85,DRAG,330
Throwing,54.02,NOTCH,342
Throwing,54.02,FRACTURE,342
Throwing,54.02,DRAG,342
Throwing,54.02,EMBEDDED LITHIC,342
Throwing,48.38,FRACTURE,345
Throwing,48.38,PIT,345
Throwing,48.38,EMBEDDED LITHIC,345
Thrusting,3.56,FRACTURE,401
Thrusting,6.49,NOTCH,405
Thrusting,7.01,FRACTURE,414
Thrusting,4.13,PIT,420
Thrusting,4.13,FRACTURE,420
Thrusting,4.13,EMBEDDED LITHIC,420
Thrusting,5.48,FRACTURE,424
Thrusting,6.96,NOTCH,428
Thrusting,3.54,PERFORATION,431
Thrusting,3.54,FRACTURE,431
Thrusting,3.47,NOTCH,435
Thrusting,3.47,FRACTURE,435
Thrusting,4.09,NOTCH,438
Thrusting,5.88,PIT,439
Thrusting,5.88,EMBEDDED LITHIC,439
Thrusting,7.2,DRAG,440
